2014-12-01 08:35:25 [INFO] [Multiverse-Portals]  0 - Portals(s) loaded
2014-12-02 06:46:44 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2014-12-02 06:49:30 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2014-12-07 23:23:42 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2014-12-08 00:56:09 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2014-12-08 01:03:29 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2014-12-08 02:11:28 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-08 02:11:28 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-08 02:11:28 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-08 02:11:28 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-08 02:11:28 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-08 02:11:28 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-08 02:11:28 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-08 02:20:55 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-08 02:20:55 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-08 02:20:55 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-08 02:20:55 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-08 02:20:55 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-08 02:20:55 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-08 02:20:55 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-08 02:57:22 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-08 02:57:22 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-08 02:57:22 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-08 02:57:22 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-08 02:57:22 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-08 02:57:22 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-08 02:57:22 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-09 07:12:58 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-09 07:12:58 [WARNING] [Multiverse-Portals]  Portal PlotToTown has an invalid LOCATION!
2014-12-09 07:12:58 [WARNING] [Multiverse-Portals]  Portal 'PlotToTown' not loaded due to invalid location!
2014-12-09 07:12:58 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToSurvival (World Error, World did not exist or was not imported into Multiverse-Core!)
2014-12-09 07:12:58 [WARNING] [Multiverse-Portals]  Portal PlotToSurvival has an invalid LOCATION!
2014-12-09 07:12:58 [WARNING] [Multiverse-Portals]  Portal 'PlotToSurvival' not loaded due to invalid location!
2014-12-09 07:12:58 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2014-12-09 07:45:10 [WARNING] [Multiverse-Portals]  Failed Parsing World for: PlotToTown (World Error, World did not exist or was not imported into Multiverse-Core!)
